0.2252,0.4661,1575,55808,346557,28,8606,2562,0.8916,1,0.9127,0.7307
0.2261,0.4774,1409,56426,348758,60,8689,2585,0.8914,1,0.9126,0.7305
0.2369,0.3618,1191,60612,371875,118,8473,1324,0.8956,1,0.9128,0.7402
0.2402,0.2792,1127,61180,384258,1,8508,1130,0.8951,1,0.9127,0.7404
0.2498,0.448,1533,55925,349460,74,7914,2712,0.9053,1,0.9133,0.7283
0.2499,0.4216,1375,55732,367910,66,9503,2621,0.9003,1,0.9127,0.734
0.2517,0.3525,1581,55212,363672,33,9631,2680,0.899,1,0.9127,0.7335
0.2555,0.3769,1143,60963,402162,112,9165,761,0.9013,1,0.9129,0.7444
0.2559,0.4145,942,61134,403625,0,9109,749,0.9015,1,0.9129,0.7448
0.2562,0.3756,1264,53559,371657,66,9921,2812,0.8967,1,0.9126,0.7326
0.2563,0.4185,1745,54611,371350,26,9725,2282,0.8919,1,0.9127,0.7327
0.2572,0.4254,1525,54298,369553,62,9858,2213,0.8916,1,0.9127,0.7314
0.2586,0.3956,1393,54782,354380,19,7676,2737,0.9047,1,0.9135,0.7271
0.2588,0.3962,1530,52951,371232,19,10090,2649,0.8965,1,0.9126,0.7331
0.2588,0.3399,1188,61769,404322,116,9082,718,0.9014,1,0.9128,0.7444
0.262,0.3404,1181,61669,400071,0,9088,662,0.9018,1,0.9129,0.7445
0.2633,0.3545,1556,53997,398411,57,10916,2409,0.8917,1,0.9122,0.7311
0.2652,0.3601,1401,53985,395630,14,10998,2414,0.8914,1,0.9121,0.7312
0.27,0.4648,1396,54388,343312,16,7174,2615,0.9041,1,0.9135,0.7235
0.2721,0.443,1318,50725,395948,37,11028,2668,0.8934,1,0.9124,0.7304
0.2722,0.4206,1427,51525,394925,15,11244,2686,0.8933,1,0.9123,0.7304
0.2728,0.4347,1526,52957,419302,19,11287,1714,0.8884,1,0.9123,0.7366
0.2729,0.5052,1056,52102,401757,43,11601,1848,0.8867,1,0.912,0.7306
0.2739,0.5712,1095,52600,395911,16,11671,1867,0.8874,1,0.9121,0.7308
0.2739,0.3537,1079,53133,383422,33,11363,2465,0.8854,1,0.9121,0.7311
0.2745,0.4512,1209,53265,395249,19,11299,2428,0.8868,1,0.9121,0.7311
0.2778,0.4201,1516,52287,415122,50,11380,1638,0.8887,1,0.9123,0.7366
0.2778,0.365,1293,59698,338229,68,6882,2499,0.9046,1,0.9136,0.7224
0.2782,0.5333,1111,52365,425640,50,11770,1633,0.8949,1,0.9121,0.7323
0.279,0.2871,1281,50738,401206,19,11347,2670,0.8935,1,0.9122,0.7289
0.2792,0.3791,1649,53124,436015,23,11362,1661,0.8888,1,0.9124,0.7365
0.2794,0.3714,1680,55548,395727,55,9172,3086,0.9182,1,0.9135,0.7323
0.2795,0.3683,1834,52143,438409,37,11565,1609,0.8889,1,0.9123,0.7363
0.2796,0.5,1232,53108,411365,16,12250,1953,0.8888,1,0.9122,0.7323
0.28,0.2911,1857,55638,398898,23,9115,3050,0.9177,1,0.9135,0.7326
0.2801,0.4795,1079,52369,423074,21,11790,1639,0.8938,1,0.9121,0.7326
0.2804,0.4415,1432,50404,437750,20,10737,1899,0.8857,1,0.9127,0.735
0.2807,0.4858,1274,52963,408805,39,12258,2007,0.8885,1,0.9121,0.7322
0.2809,0.3778,1274,51770,467527,17,10476,1129,0.8929,1,0.9127,0.7369
0.2813,0.3996,1930,54584,361667,13,7501,2160,0.9092,1,0.9136,0.7259
0.2821,0.7655,1280,50405,407538,37,11494,2509,0.8987,1,0.9125,0.7296
0.2827,0.3266,1231,52806,403600,59,12208,2006,0.8903,1,0.9119,0.7312
0.2838,0.3526,1915,54136,353363,64,7659,2143,0.9092,1,0.9135,0.7252
0.2838,0.3788,1570,50901,431414,17,10923,1919,0.8852,1,0.9127,0.734
0.2852,0.2876,1402,53138,411893,14,12401,1937,0.8901,1,0.9119,0.7316
0.2866,0.4608,1302,51879,432500,11,11572,1302,0.895,1,0.9124,0.7346
0.2868,0.5717,1450,51559,379020,20,9754,2821,0.9046,1,0.913,0.7256
0.2872,0.5549,1311,51751,404880,37,11436,2045,0.8961,1,0.9126,0.7314
0.2872,0.5535,1480,51721,399355,80,11409,2073,0.8961,1,0.9126,0.7314
0.2873,0.3333,1772,53257,349195,62,8251,2255,0.9061,1,0.9134,0.7238
0.2874,0.5665,1665,51768,380312,130,9819,2794,0.9047,1,0.913,0.7257
0.2884,0.6209,1546,48848,424524,32,11638,2058,0.8958,1,0.9124,0.7309
0.2885,0.4877,1291,49891,433907,35,11286,2320,0.8964,1,0.9123,0.7303
0.2903,0.395,1307,52395,446309,29,10768,1137,0.8934,1,0.9128,0.7363
0.2909,0.6257,1742,49331,419490,29,11692,2054,0.8957,1,0.9124,0.731
0.2909,0.5683,1444,49948,421136,39,11378,2294,0.8959,1,0.9123,0.73
0.2912,0.3377,1703,52703,353636,7,8200,2169,0.9077,1,0.9134,0.7244
0.2916,0.5357,1127,49414,427682,31,11489,2309,0.8971,1,0.9123,0.7299
0.2917,0.4165,1101,50828,386658,61,10804,2713,0.8907,1,0.9122,0.7267
0.2926,0.3803,1237,50783,381386,17,10793,2728,0.8901,1,0.9122,0.7265
0.2945,0.455,1485,51517,468492,15,10688,1452,0.8879,1,0.9131,0.7363
0.2948,0.4633,1556,51323,457975,18,10596,1532,0.8879,1,0.9131,0.7366
0.295,0.3756,1415,52179,422784,38,11814,1252,0.8945,1,0.9124,0.7347
0.2952,0.4389,1103,49804,419637,39,11433,2503,0.8924,1,0.9125,0.731
0.2952,0.523,1223,49867,426184,41,11473,2258,0.8973,1,0.9124,0.7303
0.2955,0.4199,1606,49892,362513,118,9234,3036,0.9003,1,0.9132,0.7246
0.296,0.573,1327,52303,423463,44,11724,2103,0.894,1,0.9124,0.7314
0.2963,0.504,1170,50505,426393,50,12321,2102,0.8958,1,0.9123,0.7309
0.2971,0.474,1371,49545,422502,18,11590,2490,0.8929,1,0.9125,0.7309
0.2979,0.4345,1391,49793,440244,53,12081,2225,0.8973,1,0.9121,0.7301
0.2984,0.3946,1359,52600,426863,57,11760,2095,0.8939,1,0.9123,0.7309
0.2988,0.4076,1505,49105,362068,16,9222,2996,0.9013,1,0.9133,0.7251
0.2995,0.6122,1112,49431,431726,36,11539,2436,0.8949,1,0.9126,0.7308
0.3005,0.4316,1331,51689,490241,16,10134,1287,0.8937,1,0.9133,0.7383
0.3009,0.4365,1717,55146,362515,61,7543,2867,0.9265,1,0.9148,0.7291
0.3012,0.3613,1246,52099,485183,27,10063,1255,0.8933,1,0.9132,0.7384
0.3015,0.4823,1342,50313,423778,12,12535,2059,0.8943,1,0.9122,0.7306
0.3017,0.5514,1096,48666,413439,18,12134,2218,0.8863,1,0.9121,0.7285
0.3019,0.3298,1308,50556,446727,15,11213,1759,0.89,1,0.9126,0.7319
0.302,0.6217,1198,49409,419759,15,11527,2453,0.8947,1,0.9127,0.7309
0.3024,0.3623,1212,49839,447074,29,11854,1759,0.8963,1,0.9124,0.731
0.3027,0.3983,1175,51176,468969,42,11961,1789,0.9024,1,0.9124,0.7339
0.303,0.3737,1213,50094,442760,21,11269,1755,0.8901,1,0.9126,0.7318
0.3032,0.4575,1006,52152,422682,31,12293,1995,0.8875,1,0.9123,0.7321
0.3038,0.351,1359,49634,427062,28,11704,1838,0.8955,1,0.9125,0.7308
0.3039,0.4392,988,51891,419175,37,12324,2029,0.8876,1,0.9124,0.7319
0.3048,0.499,1466,49502,434775,52,12036,2106,0.8975,1,0.9123,0.7307
0.3058,0.3896,1395,49857,429248,9,12677,1849,0.8918,1,0.9121,0.7305
0.3065,0.3671,1298,50447,420216,52,12424,2383,0.8986,1,0.9122,0.7293
0.3067,0.5156,1463,49515,430640,20,12193,2130,0.8979,1,0.9123,0.731
0.3067,0.369,1265,50301,424795,76,12814,1883,0.892,1,0.9121,0.7303
0.3067,0.5182,1155,48406,412396,61,12288,2202,0.8867,1,0.9121,0.7284
0.3067,0.3515,1179,54010,426510,76,11092,995,0.9015,1,0.9129,0.7367
0.3076,0.3822,1455,51439,445783,43,12557,1728,0.8937,1,0.9123,0.7321
0.3077,0.3737,1373,49606,432144,19,12269,2060,0.8978,1,0.9122,0.7303
0.3083,0.4545,1553,51540,480572,36,10751,1253,0.897,1,0.913,0.7375
